,name,rating,reviews,description,descriptor,Location,type,places,cafe,bar,spa,lodging,restaurant,food,point_of_interest,establishment,bakery,store,night_club,book_store,tourist_attraction,florist,liquor_store,movie_rental,electronics_store,home_goods_store,movie_theater,gym,health,parking,gas_station,car_wash,convenience_store,car_repair,art_gallery,park,meal_takeaway,meal_delivery,locality,political,general_contractor,police,laundry
27,Maçka Demokrasi Parkı,4.5,6182,Parque informal con un pasado oscuro,Parque,Şişli,3,20,20,1,1,2,6,20.0,20,20,2,9,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
28,Iglesia de San Sergio y San Baco,4.7,3863,Histórica mezquita abovedada de estilo bizantino,Iglesia ,Fatih,1,20,20,3,0,0,12,20.0,20,20,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29,SEA LIFE,4.3,12981,Acuario y testudines,Aquarium,Bayrampaşa,3,20,20,0,0,0,4,20.0,20,20,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,VIALAND Tema Park,4.2,39920,Parque temático familiar y centro comercial,Parque temático,Eyüpsultan,6,20,20,0,0,0,1,20.0,20,20,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Cisterna de Teodosio,4.6,6377,Cisterna histórica de 1600 años de antigüedad,Espacio histórico,Fatih,1,20,20,2,1,1,11,20.0,20,20,3,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Küçüksu Kasrı (Milli Saraylar),4.6,4403,"Palacio, arquitectura e historia",Espacio histórico,Beykoz,1,20,20,1,0,0,7,20.0,20,20,2,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
33,Mihrimah Sultan Mosque,4.8,3875,Majestuosa mezquita del siglo XVI,Mezquita,Üsküdar,0,20,20,0,0,0,2,20.0,20,20,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Yavuz Sultan Selim Mosque,4.9,4966,Arquitectura otomana y vistas del Cuerno de Oro,Mezquita,Fatih,0,20,20,0,0,0,3,20.0,20,20,2,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Catedral patriarcal de San Jorge,4.6,4092,Catedral restaurada e imponente con reliquias,Iglesia,Fatih,1,20,20,0,0,0,2,20.0,20,20,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Puente del Bósforo,4.5,9060,Puente colgante entre Europa y Asia,Obra moderna,Üsküdar,1,20,20,1,0,0,8,20.0,20,20,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Museo militar de Harbiye,4.7,3620,Museo amplio sobre la historia militar turca,Museo,Şişli,1,20,20,1,0,0,8,20.0,20,20,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Cağaloğlu Hamam,4.7,2227,Históricos baños turcos de hace 300 años,Espacio histórico,Fatih,0,20,20,2,1,1,14,20.0,20,20,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Mezquita de Beyazid,4.7,3635,Complejo de mezquitas terminado en 1506,Mezquita,Fatih,0,20,20,2,0,0,11,20.0,20,20,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Pelit Chocolate Museum,4.4,6301,Museo,Museo,Esenyurt,6,20,20,0,0,0,1,20.0,20,20,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
